geography,locationAbbr,medianAge,sexRatio,ageDependencyRatio,oldAgeDependencyRatio,childDependencyRatio,medianIncome,percentBelowPoverty,alcoholConsumption,smokers,physicallyActive
Alabama,AL,38.6,93.9,62,24.9,37,42830,19.3,40.1,21.1,72.4
Alaska,AK,33.3,109.8,53.5,14.6,38.9,71583,11.2,56.7,19.9,80.8
Arizona,AZ,36.9,98.7,66.7,26.5,40.2,50068,18.2,51.7,16.5,78.8
Arkansas,AR,37.8,96.5,65.2,25.9,39.3,41262,18.9,39.9,24.7,69.4
California,CA,36,98.6,57.3,20.2,37.1,61933,16.4,53.6,12.9,78.3
Colorado,CO,36.3,101.1,56.2,19.8,36.4,61303,12,61.2,15.7,83.6
Connecticut,CT,40.5,95.2,58.7,24.5,34.2,70048,10.8,60.8,15.4,79.4
Delaware,DE,39.6,94.3,61.9,26.6,35.3,59716,12.5,52.9,19.9,75.1
District of Columbia,DC,33.8,90.3,40.4,15.9,24.5,71648,17.7,67.4,16.4,79.2
Florida,FL,41.6,95.6,65.1,31.5,33.6,47463,16.5,54.4,17.7,76.3
Georgia,GA,36.1,95.1,58.8,19.6,39.2,49321,18.3,48.1,17.4,76.4
Hawaii,HI,38.1,102.1,60.7,25.8,34.9,69592,11.4,51,14.1,80.4
Idaho,ID,35.9,100,68.8,24.3,44.5,47861,14.8,48.5,15.9,81.3
Illinois,IL,37.5,96.4,58.9,22.1,36.8,57444,14.4,57.2,16.5,76.1
Indiana,IN,37.4,96.8,62,23.1,38.9,49446,15.2,47.9,22.9,73.9
Iowa,IA,38.2,98.9,64.3,25.9,38.4,53712,12.2,58.7,18.5,77.4
Kansas,KS,36.2,99,64.6,23.7,41,52504,13.6,51.5,18.1,76.2
Kentucky,KY,38.5,97.1,60.8,23.8,37,42958,19.1,37.2,26.2,71.8
Louisiana,LA,36.1,95.6,60.1,21.7,38.4,44555,19.8,49.4,24,70.5
Maine,ME,44.1,94.9,60.3,29.2,31.1,49462,14.1,59.2,19.3,80.3
Maryland,MD,38.3,94,57.1,21.6,35.5,73971,10.1,53.3,14.6,78.6
Massachusetts,MA,39.4,94.1,55.5,23.4,32,69160,11.6,61.9,14.7,79.9
Michigan,MI,39.6,96.4,61,24.9,36.1,49847,16.2,57,21.2,74.5
Minnesota,MN,37.8,98.9,60.7,22.9,37.8,61481,11.5,61.7,16.3,79.8
Mississippi,MS,36.7,94.9,63.2,23.3,39.9,39680,21.5,38.8,23,68.4
Missouri,MO,38.5,96,62.2,24.9,37.2,48363,15.5,45.5,20.6,75
Montana,MT,39.6,100.6,62.8,27.1,35.7,46328,15.4,59.6,19.9,80.4
Nebraska,NE,36.2,99,64.6,23.7,40.9,52686,12.4,59.2,17.3,78.7
Nevada,NV,37.4,101,59.9,22.6,37.3,51450,15.2,50.6,17,77.5
New Hampshire,NH,42.5,97.4,56.1,24.6,31.4,66532,9.2,62.5,17.5,80.7
New Jersey,NJ,39.4,95.4,59.2,23.4,35.8,71919,11.1,56.3,15.1,76.7
New Mexico,NM,37.2,98.1,64.6,25.1,39.5,44803,21.3,47.8,19.2,76.7
New York,NY,38.2,94.1,56.4,22.9,33.5,58878,15.9,54.5,14.4,74.1
North Carolina,NC,38.3,94.9,60.6,23.6,37,46556,17.2,46.2,19.1,76.8
North Dakota,ND,35.1,103.6,58.3,22.4,35.9,59029,11.5,61.2,19.9,78.7
Ohio,OH,39.4,95.9,61.9,25.1,36.8,49308,15.8,53.1,21,75.1
Oklahoma,OK,36.2,98.1,64,23.8,40.3,47529,16.6,41.7,21.1,71.7
Oregon,OR,39.3,97.9,60.3,25.6,34.7,51075,16.6,59,17,83.5
Pennsylvania,PA,40.7,95.7,60.8,26.8,34,53234,13.6,54.6,19.9,76.7
Rhode Island,RI,39.8,94.1,56.2,24.8,31.5,54891,14.3,63.2,16.3,77.5
South Carolina,SC,38.8,94.8,61.8,25.5,36.3,45238,18,47.3,21.5,74.7
South Dakota,SD,36.6,100.4,66.3,25.2,41.1,50979,14.2,55.6,18.6,78.8
Tennessee,TN,38.6,95,60.9,24.2,36.7,44361,18.3,40.5,24.2,73.2
Texas,TX,34.3,98.6,61,18.5,42.5,53035,17.2,48,14.5,72.4
Utah,UT,30.5,101.1,68.9,16.9,52,60922,11.7,29.8,9.7,83.2
Vermont,VT,42.8,97,57.4,26.8,30.6,54166,12.2,64.3,16.4,81
Virginia,VA,37.7,96.7,56.7,21.6,35.2,64902,11.8,51.7,19.5,76.5
Washington,WA,37.5,99.9,58.1,22.2,35.9,61366,13.2,59.5,15.3,81.9
West Virginia,WV,41.9,97.8,62.6,28.9,33.7,41059,18.3,32.7,26.7,71.3
Wisconsin,WI,39.2,98.6,60.7,24.4,36.3,52622,13.2,63.1,17.4,78.8
Wyoming,WY,36.6,103.6,59.6,21.9,37.6,57055,11.2,51.7,19.5,77.9
Puerto Rico,PR,39.3,92.4,64.4,28.6,35.8,18928,46.2,29.3,11.3,59.4